text,label
Até na próxima!,0
Problema de performance no homologação,1
Problema de performance no homologação,1
Prazo para documentação é sexta-feira,1
Pensando em sua família,0
Status do projeto refatoração?,1
Foi um prazer participar,0
Necessário rollback da versão stable,1
Pensando em seus projetos,0
Ticket #67890 precisa ser priorizado,1
Solicito mobile para resolver problema crítico,1
Erro timeout acontecendo,1
Espero que esteja tranquilo,0
Boa tarde! Como você está?,0
Solicito mobile para resolver bug,1
Espero que seja um sucesso,0
Espero que esteja descansado,0
Obrigado pela apoio,0
Muito obrigado por lembrar!,0
Agradeço pela gentileza,0
Desejo tudo de ótimo para você,0
Que bom saber que está tudo bem!,0
Lembranças de a reunião,0
Acesso negado ao API,1
Reunião sobre performance às 15h,1
Fico feliz em poder ajudar,0
Status do projeto deploy?,1
Tenha um excelente dia!,0
Que alegria receber sua mensagem!,0
Parabéns pelo promoção!,0
Pensando em seu trabalho,0
Obrigado pela dica,0
Bug reportado pelo cliente: problema crítico,1
Status do projeto refatoração?,1
Solicito banco de dados para resolver crash,1
Bug reportado pelo cliente: problema crítico,1
Desejo tudo de maravilhoso para você,0
Necessário rollback da versão stable,1
Foi um prazer conhecê-lo,0
Erro 502 acontecendo,1
Fico feliz em conhecê-lo,0
Bug reportado pelo cliente: erro,1
Lembranças de o evento,0
Muito obrigado por pensar em mim!,0
Que felicidade receber sua mensagem!,0
Desejo tudo de melhor para você,0
Prazo para review é sexta-feira,1
Abraços e paz!,0
Preciso de suporte para instalação,1
Foi um prazer colaborar,0
Que alegria pela conquista!,0
Monitoramento detectou alto uso de CPU,1
Ticket #22222 precisa ser priorizado,1
Problema de performance no staging,1
Abraços e sucesso!,0
Desejo um ótimo mês!,0
Parabéns pelo promoção!,0
Até breve!,0
Falha na integração com CDN,1
Tenha um ótima semana!,0
Necessário rollback da versão stable,1
Reunião sobre performance às 14h,1
Ticket #22222 precisa ser priorizado,1
Desculpe pelo inconveniente,0
Atualização necessária no pagamento,1
Agradeço pela atenção,0
Configuração de Docker não está funcionando,1
Acesso negado ao database,1
Backup do frontend falhou,1
Espero que corra tudo bem,0
Ticket #11111 precisa ser priorizado,1
Necessário rollback da versão latest,1
Solicito database para resolver inconsistência,1
Foi um prazer participar,0
Desejo um ótimo mês!,0
Desejo tudo de excelente para você,0
Meus parabéns pela conquista!,0
Abraços e bons votos!,0
Meus parabéns pela conquista!,0
Falha na integração com CDN,1
Espero que melhore logo,0
Espero que esteja com saúde,0
Espero que seja um sucesso,0
Estou com crash no sistema login,1
Muito obrigado por apoiar!,0
Solicito banco de dados para resolver falha,1
Abraços e bons votos!,0
Acesso negado ao pagamento,1
Que honra receber sua mensagem!,0
Que bom saber que foi resolvido!,0
Falha na integração com CDN,1
Prazo para documentação é fim do sprint,1
Status do projeto deploy?,1
Configuração de Kubernetes não está funcionando,1
Espero que esteja ótimo,0
Atualização necessária no autenticação,1
Atualização necessária no autenticação,1
Erro 404 acontecendo,1
Estou com bug no sistema database,1
Pensando em seus projetos,0
Reunião sobre planejamento às 16h30,1
Estou com inconsistência no sistema frontend,1
Tenha um ótima semana!,0
Configuração de Kubernetes não está funcionando,1
Configuração de Docker não está funcionando,1
Prazo para deploy é hoje,1
Ticket #11111 precisa ser priorizado,1
Que bom saber que foi resolvido!,0
Muito obrigado por orientar!,0
Espero que melhore logo,0
Preciso de suporte para permissão de acesso,1
Felicitações pela conquista!,0
Meus parabéns pela conquista!,0
Que alegria pela conquista!,0
Espero que dê certo,0
Desejo um ótimo férias!,0
Reunião sobre planejamento às 15h,1
Abraços e paz!,0
Que alegria pela conquista!,0
Que alegria receber sua mensagem!,0
Espero que corra tudo bem,0
Ticket #11111 precisa ser priorizado,1
Que prazer receber sua mensagem!,0
Falha na integração com analytics,1
